var,name,mean,lwr,upr,string
Peak Ct,No well-documented prior infection,26.3,21,30.7,"26.3 (21, 30.7)"
Peak Ct,Other/None,27.5,22.2,31.8,"27.5 (22.2, 31.8)"
Peak Ct,Alpha,27,21.1,31.8,"27 (21.1, 31.8)"
Peak Ct,Delta,26.9,20.9,31.7,"26.9 (20.9, 31.7)"
Peak Ct,BA.1/BA.2,27.1,20.4,31.8,"27.1 (20.4, 31.8)"
Peak GEML,No well-documented prior infection,6.5,5.2,7.9,"6.5 (5.2, 7.9)"
Peak GEML,Other/None,6.1,4.9,7.6,"6.1 (4.9, 7.6)"
Peak GEML,Alpha,6.3,4.9,7.9,"6.3 (4.9, 7.9)"
Peak GEML,Delta,6.3,5,8,"6.3 (5, 8)"
Peak GEML,BA.1/BA.2,6.2,4.9,8.1,"6.2 (4.9, 8.1)"
Proliferation time,No well-documented prior infection,5,2.4,9.2,"5 (2.4, 9.2)"
Proliferation time,Other/None,4.3,1.8,8.7,"4.3 (1.8, 8.7)"
Proliferation time,Alpha,5.7,2.3,12,"5.7 (2.3, 12)"
Proliferation time,Delta,4.3,1.7,9,"4.3 (1.7, 9)"
Proliferation time,BA.1/BA.2,4.4,1.3,10.6,"4.4 (1.3, 10.6)"
Clearance time,No well-documented prior infection,9.1,5.1,14.7,"9.1 (5.1, 14.7)"
Clearance time,Other/None,8.5,4.6,14.2,"8.5 (4.6, 14.2)"
Clearance time,Alpha,10.4,5.8,17.6,"10.4 (5.8, 17.6)"
Clearance time,Delta,8.4,4.2,14.6,"8.4 (4.2, 14.6)"
Clearance time,BA.1/BA.2,5.7,2.4,11.4,"5.7 (2.4, 11.4)"
Proliferation rate (Ct/day),No well-documented prior infection,3.1,1.3,6.6,"3.1 (1.3, 6.6)"
Proliferation rate (Ct/day),Other/None,3.5,1.2,7.5,"3.5 (1.2, 7.5)"
Proliferation rate (Ct/day),Alpha,2.8,0.9,6.3,"2.8 (0.9, 6.3)"
Proliferation rate (Ct/day),Delta,3.6,1.2,8.5,"3.6 (1.2, 8.5)"
Proliferation rate (Ct/day),BA.1/BA.2,4,1,10.9,"4 (1, 10.9)"
Clearance rate (Ct/day),No well-documented prior infection,1.6,0.8,3,"1.6 (0.8, 3)"
Clearance rate (Ct/day),Other/None,1.6,0.8,3,"1.6 (0.8, 3)"
Clearance rate (Ct/day),Alpha,1.4,0.6,2.6,"1.4 (0.6, 2.6)"
Clearance rate (Ct/day),Delta,1.7,0.8,3.5,"1.7 (0.8, 3.5)"
Clearance rate (Ct/day),BA.1/BA.2,2.7,1,5.8,"2.7 (1, 5.8)"
Symmetry (proliferation/clearance),No well-documented prior infection,0.6,0.2,1.3,"0.6 (0.2, 1.3)"
Symmetry (proliferation/clearance),Other/None,0.6,0.2,1.4,"0.6 (0.2, 1.4)"
Symmetry (proliferation/clearance),Alpha,0.6,0.2,1.5,"0.6 (0.2, 1.5)"
Symmetry (proliferation/clearance),Delta,0.6,0.2,1.5,"0.6 (0.2, 1.5)"
Symmetry (proliferation/clearance),BA.1/BA.2,0.9,0.2,3,"0.9 (0.2, 3)"
