var,name,mean,lwr,upr,string
Peak Ct,No well-documented prior infection,26.6,23.7,29.2,"26.6 (23.7, 29.2)"
Peak Ct,Other/None,27.8,24.7,30.4,"27.8 (24.7, 30.4)"
Peak Ct,Alpha,27.1,23.4,30.3,"27.1 (23.4, 30.3)"
Peak Ct,Delta,27.4,23.9,30.3,"27.4 (23.9, 30.3)"
Peak Ct,BA.1/BA.2,27.4,23,30.9,"27.4 (23, 30.9)"
Peak GEML,No well-documented prior infection,6.4,5.6,7.2,"6.4 (5.6, 7.2)"
Peak GEML,Other/None,6,5.3,6.9,"6 (5.3, 6.9)"
Peak GEML,Alpha,6.2,5.3,7.3,"6.2 (5.3, 7.3)"
Peak GEML,Delta,6.2,5.3,7.1,"6.2 (5.3, 7.1)"
Peak GEML,BA.1/BA.2,6.2,5.2,7.4,"6.2 (5.2, 7.4)"
Proliferation time,No well-documented prior infection,4.8,3.5,6.4,"4.8 (3.5, 6.4)"
Proliferation time,Other/None,4.3,2.9,6.3,"4.3 (2.9, 6.3)"
Proliferation time,Alpha,5.1,3.1,7.9,"5.1 (3.1, 7.9)"
Proliferation time,Delta,4.5,2.8,6.9,"4.5 (2.8, 6.9)"
Proliferation time,BA.1/BA.2,4.5,2.8,7.3,"4.5 (2.8, 7.3)"
Clearance time,No well-documented prior infection,7.2,5.6,9,"7.2 (5.6, 9)"
Clearance time,Other/None,6.6,4.8,9,"6.6 (4.8, 9)"
Clearance time,Alpha,7.8,5.4,11,"7.8 (5.4, 11)"
Clearance time,Delta,6.6,4.6,9.2,"6.6 (4.6, 9.2)"
Clearance time,BA.1/BA.2,5.6,3.5,8.4,"5.6 (3.5, 8.4)"
Proliferation rate (Ct/day),No well-documented prior infection,2.9,2,4.1,"2.9 (2, 4.1)"
Proliferation rate (Ct/day),Other/None,3,1.8,4.6,"3 (1.8, 4.6)"
Proliferation rate (Ct/day),Alpha,2.7,1.4,4.5,"2.7 (1.4, 4.5)"
Proliferation rate (Ct/day),Delta,3,1.6,4.9,"3 (1.6, 4.9)"
Proliferation rate (Ct/day),BA.1/BA.2,3,1.5,5.1,"3 (1.5, 5.1)"
Clearance rate (Ct/day),No well-documented prior infection,1.9,1.4,2.6,"1.9 (1.4, 2.6)"
Clearance rate (Ct/day),Other/None,1.9,1.2,2.7,"1.9 (1.2, 2.7)"
Clearance rate (Ct/day),Alpha,1.7,1,2.6,"1.7 (1, 2.6)"
Clearance rate (Ct/day),Delta,2,1.3,3,"2 (1.3, 3)"
Clearance rate (Ct/day),BA.1/BA.2,2.4,1.3,3.9,"2.4 (1.3, 3.9)"
Symmetry (proliferation/clearance),No well-documented prior infection,0.7,0.4,1,"0.7 (0.4, 1)"
Symmetry (proliferation/clearance),Other/None,0.7,0.4,1.1,"0.7 (0.4, 1.1)"
Symmetry (proliferation/clearance),Alpha,0.7,0.3,1.2,"0.7 (0.3, 1.2)"
Symmetry (proliferation/clearance),Delta,0.7,0.4,1.2,"0.7 (0.4, 1.2)"
Symmetry (proliferation/clearance),BA.1/BA.2,0.9,0.4,1.6,"0.9 (0.4, 1.6)"
