var,name,mean,lwr,upr,string
Peak Ct,Unpaired second infections,27.8,26.1,29.3,"27.8 (26.1, 29.3)"
Peak Ct,Not vaccinated/Not boosted,27.4,20.2,32.4,"27.4 (20.2, 32.4)"
Peak Ct,Not vaccinated/Boost unknown,27.6,22.1,31.9,"27.6 (22.1, 31.9)"
Peak Ct,Vaccinated/Not boosted,26.9,23.9,29.7,"26.9 (23.9, 29.7)"
Peak Ct,Vaccinated/Boosted,29.1,27.1,30.9,"29.1 (27.1, 30.9)"
Peak Ct,Vaccinated/Boost unknown,29.7,26.7,32.1,"29.7 (26.7, 32.1)"
Peak Ct,Unknown,27.9,24.8,30.4,"27.9 (24.8, 30.4)"
Peak GEML,Unpaired second infections,6,5.6,6.5,"6 (5.6, 6.5)"
Peak GEML,Not vaccinated/Not boosted,6.2,4.8,8.1,"6.2 (4.8, 8.1)"
Peak GEML,Not vaccinated/Boost unknown,6.1,4.9,7.6,"6.1 (4.9, 7.6)"
Peak GEML,Vaccinated/Not boosted,6.3,5.5,7.1,"6.3 (5.5, 7.1)"
Peak GEML,Vaccinated/Boosted,5.7,5.2,6.2,"5.7 (5.2, 6.2)"
Peak GEML,Vaccinated/Boost unknown,5.5,4.8,6.4,"5.5 (4.8, 6.4)"
Peak GEML,Unknown,6,5.3,6.9,"6 (5.3, 6.9)"
Proliferation time,Unpaired second infections,4.7,3.6,6.1,"4.7 (3.6, 6.1)"
Proliferation time,Not vaccinated/Not boosted,4.8,2.7,7.8,"4.8 (2.7, 7.8)"
Proliferation time,Not vaccinated/Boost unknown,4.8,2.8,7.6,"4.8 (2.8, 7.6)"
Proliferation time,Vaccinated/Not boosted,4.3,2.8,6.4,"4.3 (2.8, 6.4)"
Proliferation time,Vaccinated/Boosted,4.6,3.2,6.5,"4.6 (3.2, 6.5)"
Proliferation time,Vaccinated/Boost unknown,5,2.9,8.1,"5 (2.9, 8.1)"
Proliferation time,Unknown,4.5,2.9,6.9,"4.5 (2.9, 6.9)"
Clearance time,Unpaired second infections,6.4,5.2,7.7,"6.4 (5.2, 7.7)"
Clearance time,Not vaccinated/Not boosted,6.5,3.7,10.6,"6.5 (3.7, 10.6)"
Clearance time,Not vaccinated/Boost unknown,6.2,3.7,9.8,"6.2 (3.7, 9.8)"
Clearance time,Vaccinated/Not boosted,5.9,4.2,8.1,"5.9 (4.2, 8.1)"
Clearance time,Vaccinated/Boosted,6.3,4.9,7.9,"6.3 (4.9, 7.9)"
Clearance time,Vaccinated/Boost unknown,5.6,3.7,8,"5.6 (3.7, 8)"
Clearance time,Unknown,6,4.2,8.3,"6 (4.2, 8.3)"
Proliferation rate (Ct/day),Unpaired second infections,2.7,1.9,3.6,"2.7 (1.9, 3.6)"
Proliferation rate (Ct/day),Not vaccinated/Not boosted,2.8,1.3,5.3,"2.8 (1.3, 5.3)"
Proliferation rate (Ct/day),Not vaccinated/Boost unknown,2.8,1.3,5.2,"2.8 (1.3, 5.2)"
Proliferation rate (Ct/day),Vaccinated/Not boosted,3.2,1.9,5,"3.2 (1.9, 5)"
Proliferation rate (Ct/day),Vaccinated/Boosted,2.5,1.6,3.6,"2.5 (1.6, 3.6)"
Proliferation rate (Ct/day),Vaccinated/Boost unknown,2.2,1.1,3.8,"2.2 (1.1, 3.8)"
Proliferation rate (Ct/day),Unknown,2.8,1.6,4.5,"2.8 (1.6, 4.5)"
Clearance rate (Ct/day),Unpaired second infections,1.9,1.5,2.4,"1.9 (1.5, 2.4)"
Clearance rate (Ct/day),Not vaccinated/Not boosted,2.1,1,4.1,"2.1 (1, 4.1)"
Clearance rate (Ct/day),Not vaccinated/Boost unknown,2.1,1.1,3.8,"2.1 (1.1, 3.8)"
Clearance rate (Ct/day),Vaccinated/Not boosted,2.3,1.5,3.3,"2.3 (1.5, 3.3)"
Clearance rate (Ct/day),Vaccinated/Boosted,1.8,1.3,2.4,"1.8 (1.3, 2.4)"
Clearance rate (Ct/day),Vaccinated/Boost unknown,1.9,1.2,3,"1.9 (1.2, 3)"
Clearance rate (Ct/day),Unknown,2.1,1.4,3.1,"2.1 (1.4, 3.1)"
Symmetry (proliferation/clearance),Unpaired second infections,0.7,0.5,1,"0.7 (0.5, 1)"
Symmetry (proliferation/clearance),Not vaccinated/Not boosted,0.8,0.4,1.6,"0.8 (0.4, 1.6)"
Symmetry (proliferation/clearance),Not vaccinated/Boost unknown,0.8,0.4,1.6,"0.8 (0.4, 1.6)"
Symmetry (proliferation/clearance),Vaccinated/Not boosted,0.7,0.4,1.3,"0.7 (0.4, 1.3)"
Symmetry (proliferation/clearance),Vaccinated/Boosted,0.7,0.5,1.1,"0.7 (0.5, 1.1)"
Symmetry (proliferation/clearance),Vaccinated/Boost unknown,0.9,0.4,1.7,"0.9 (0.4, 1.7)"
Symmetry (proliferation/clearance),Unknown,0.8,0.4,1.4,"0.8 (0.4, 1.4)"
