var,name,mean,lwr,upr,string
Peak Ct,No well-documented prior infection,26.1,20.3,30.5,"26.1 (20.3, 30.5)"
Peak Ct,Other/None,27.3,21.5,31.6,"27.3 (21.5, 31.6)"
Peak Ct,Alpha,26.9,20.6,31.5,"26.9 (20.6, 31.5)"
Peak Ct,Delta,26.8,20.2,31.4,"26.8 (20.2, 31.4)"
Peak Ct,BA.1/BA.2,27,19.8,32.1,"27 (19.8, 32.1)"
Peak GEML,No well-documented prior infection,6.5,5.3,8.1,"6.5 (5.3, 8.1)"
Peak GEML,Other/None,6.2,5,7.8,"6.2 (5, 7.8)"
Peak GEML,Alpha,6.3,5,8,"6.3 (5, 8)"
Peak GEML,Delta,6.3,5,8.1,"6.3 (5, 8.1)"
Peak GEML,BA.1/BA.2,6.3,4.9,8.2,"6.3 (4.9, 8.2)"
Proliferation time,No well-documented prior infection,4.9,2.4,9.3,"4.9 (2.4, 9.3)"
Proliferation time,Other/None,4.1,1.8,8.4,"4.1 (1.8, 8.4)"
Proliferation time,Alpha,5.7,2.2,12.5,"5.7 (2.2, 12.5)"
Proliferation time,Delta,4.3,1.7,9.1,"4.3 (1.7, 9.1)"
Proliferation time,BA.1/BA.2,4.3,1.4,10.7,"4.3 (1.4, 10.7)"
Clearance time,No well-documented prior infection,9.3,5.4,14.5,"9.3 (5.4, 14.5)"
Clearance time,Other/None,8.7,4.9,14.1,"8.7 (4.9, 14.1)"
Clearance time,Alpha,10.7,5.6,18,"10.7 (5.6, 18)"
Clearance time,Delta,8.4,4.6,14.5,"8.4 (4.6, 14.5)"
Clearance time,BA.1/BA.2,5.7,2.4,11.3,"5.7 (2.4, 11.3)"
Proliferation rate (Ct/day),No well-documented prior infection,3.2,1.3,6.3,"3.2 (1.3, 6.3)"
Proliferation rate (Ct/day),Other/None,3.6,1.3,8,"3.6 (1.3, 8)"
Proliferation rate (Ct/day),Alpha,2.8,0.9,6.5,"2.8 (0.9, 6.5)"
Proliferation rate (Ct/day),Delta,3.7,1.3,8.6,"3.7 (1.3, 8.6)"
Proliferation rate (Ct/day),BA.1/BA.2,4,1,10.7,"4 (1, 10.7)"
Clearance rate (Ct/day),No well-documented prior infection,1.6,0.8,2.8,"1.6 (0.8, 2.8)"
Clearance rate (Ct/day),Other/None,1.6,0.8,2.9,"1.6 (0.8, 2.9)"
Clearance rate (Ct/day),Alpha,1.3,0.6,2.5,"1.3 (0.6, 2.5)"
Clearance rate (Ct/day),Delta,1.7,0.8,3.2,"1.7 (0.8, 3.2)"
Clearance rate (Ct/day),BA.1/BA.2,2.7,1,6,"2.7 (1, 6)"
Symmetry (proliferation/clearance),No well-documented prior infection,0.6,0.2,1.2,"0.6 (0.2, 1.2)"
Symmetry (proliferation/clearance),Other/None,0.5,0.2,1.2,"0.5 (0.2, 1.2)"
Symmetry (proliferation/clearance),Alpha,0.6,0.2,1.5,"0.6 (0.2, 1.5)"
Symmetry (proliferation/clearance),Delta,0.6,0.2,1.4,"0.6 (0.2, 1.4)"
Symmetry (proliferation/clearance),BA.1/BA.2,0.9,0.2,2.7,"0.9 (0.2, 2.7)"
