var,name,mean,lwr,upr,string
Peak Ct,Not vaccinated/Not boosted,26.4,21.1,30.8,"26.4 (21.1, 30.8)"
Peak Ct,Not vaccinated/Boost unknown,30.5,27.2,33.3,"30.5 (27.2, 33.3)"
Peak Ct,Vaccinated/Not boosted,28.8,26.5,30.9,"28.8 (26.5, 30.9)"
Peak Ct,Vaccinated/Boosted,29.2,27.2,31.1,"29.2 (27.2, 31.1)"
Peak Ct,Vaccinated/Boost unknown,28.8,26.3,31.2,"28.8 (26.3, 31.2)"
Peak Ct,Unknown,28.4,25.8,30.8,"28.4 (25.8, 30.8)"
Peak GEML,Not vaccinated/Not boosted,6.4,5.2,7.9,"6.4 (5.2, 7.9)"
Peak GEML,Not vaccinated/Boost unknown,5.3,4.5,6.2,"5.3 (4.5, 6.2)"
Peak GEML,Vaccinated/Not boosted,5.8,5.2,6.4,"5.8 (5.2, 6.4)"
Peak GEML,Vaccinated/Boosted,5.6,5.1,6.2,"5.6 (5.1, 6.2)"
Peak GEML,Vaccinated/Boost unknown,5.8,5.1,6.5,"5.8 (5.1, 6.5)"
Peak GEML,Unknown,5.9,5.2,6.6,"5.9 (5.2, 6.6)"
Proliferation time,Not vaccinated/Not boosted,4.8,2.3,9.1,"4.8 (2.3, 9.1)"
Proliferation time,Not vaccinated/Boost unknown,9,3.4,20.9,"9 (3.4, 20.9)"
Proliferation time,Vaccinated/Not boosted,3.9,2.2,6.4,"3.9 (2.2, 6.4)"
Proliferation time,Vaccinated/Boosted,5.5,3.1,8.7,"5.5 (3.1, 8.7)"
Proliferation time,Vaccinated/Boost unknown,4,2.2,6.6,"4 (2.2, 6.6)"
Proliferation time,Unknown,5.6,2.8,9.8,"5.6 (2.8, 9.8)"
Clearance time,Not vaccinated/Not boosted,9.1,5.3,14.3,"9.1 (5.3, 14.3)"
Clearance time,Not vaccinated/Boost unknown,5.5,3.3,8.8,"5.5 (3.3, 8.8)"
Clearance time,Vaccinated/Not boosted,4.8,3.5,6.4,"4.8 (3.5, 6.4)"
Clearance time,Vaccinated/Boosted,5.7,4.3,7.4,"5.7 (4.3, 7.4)"
Clearance time,Vaccinated/Boost unknown,5.3,3.8,7.1,"5.3 (3.8, 7.1)"
Clearance time,Unknown,5.8,4.1,7.9,"5.8 (4.1, 7.9)"
Proliferation rate (Ct/day),Not vaccinated/Not boosted,3.2,1.4,6.6,"3.2 (1.4, 6.6)"
Proliferation rate (Ct/day),Not vaccinated/Boost unknown,1.3,0.4,3.2,"1.3 (0.4, 3.2)"
Proliferation rate (Ct/day),Vaccinated/Not boosted,3.1,1.7,5.5,"3.1 (1.7, 5.5)"
Proliferation rate (Ct/day),Vaccinated/Boosted,2.1,1.1,3.7,"2.1 (1.1, 3.7)"
Proliferation rate (Ct/day),Vaccinated/Boost unknown,3,1.5,5.4,"3 (1.5, 5.4)"
Proliferation rate (Ct/day),Unknown,2.3,1.1,4.4,"2.3 (1.1, 4.4)"
Clearance rate (Ct/day),Not vaccinated/Not boosted,1.6,0.8,2.8,"1.6 (0.8, 2.8)"
Clearance rate (Ct/day),Not vaccinated/Boost unknown,1.8,1,3.1,"1.8 (1, 3.1)"
Clearance rate (Ct/day),Vaccinated/Not boosted,2.4,1.6,3.4,"2.4 (1.6, 3.4)"
Clearance rate (Ct/day),Vaccinated/Boosted,1.9,1.3,2.6,"1.9 (1.3, 2.6)"
Clearance rate (Ct/day),Vaccinated/Boost unknown,2.2,1.4,3.1,"2.2 (1.4, 3.1)"
Clearance rate (Ct/day),Unknown,2.1,1.4,3,"2.1 (1.4, 3)"
Symmetry (proliferation/clearance),Not vaccinated/Not boosted,0.6,0.2,1.2,"0.6 (0.2, 1.2)"
Symmetry (proliferation/clearance),Not vaccinated/Boost unknown,1.8,0.5,4.8,"1.8 (0.5, 4.8)"
Symmetry (proliferation/clearance),Vaccinated/Not boosted,0.8,0.4,1.5,"0.8 (0.4, 1.5)"
Symmetry (proliferation/clearance),Vaccinated/Boosted,1,0.5,1.8,"1 (0.5, 1.8)"
Symmetry (proliferation/clearance),Vaccinated/Boost unknown,0.8,0.4,1.4,"0.8 (0.4, 1.4)"
Symmetry (proliferation/clearance),Unknown,1,0.4,1.9,"1 (0.4, 1.9)"
