var,name,mean,lwr,upr,string
Peak Ct,Other/None,26.5,20.6,30.6,"26.5 (20.6, 30.6)"
Peak Ct,Alpha,26.7,20.5,31.4,"26.7 (20.5, 31.4)"
Peak Ct,Delta,27,20.7,31.1,"27 (20.7, 31.1)"
Peak Ct,BA.1/BA.2,26.3,18.9,31.6,"26.3 (18.9, 31.6)"
Peak GEML,Other/None,6.4,5.2,8,"6.4 (5.2, 8)"
Peak GEML,Alpha,6.3,5,8.1,"6.3 (5, 8.1)"
Peak GEML,Delta,6.3,5.1,8,"6.3 (5.1, 8)"
Peak GEML,BA.1/BA.2,6.4,5,8.5,"6.4 (5, 8.5)"
Proliferation time,Other/None,4.7,2.2,8.8,"4.7 (2.2, 8.8)"
Proliferation time,Alpha,5.5,2.1,11.3,"5.5 (2.1, 11.3)"
Proliferation time,Delta,4.9,2,10,"4.9 (2, 10)"
Proliferation time,BA.1/BA.2,4.4,1.4,10.8,"4.4 (1.4, 10.8)"
Clearance time,Other/None,9.1,5.2,14.8,"9.1 (5.2, 14.8)"
Clearance time,Alpha,9.8,5.2,17,"9.8 (5.2, 17)"
Clearance time,Delta,8.9,4.7,14.7,"8.9 (4.7, 14.7)"
Clearance time,BA.1/BA.2,6.4,2.9,12.2,"6.4 (2.9, 12.2)"
Proliferation rate (Ct/day),Other/None,3.2,1.3,6.7,"3.2 (1.3, 6.7)"
Proliferation rate (Ct/day),Alpha,2.9,1,6.5,"2.9 (1, 6.5)"
Proliferation rate (Ct/day),Delta,3.2,1.1,7.3,"3.2 (1.1, 7.3)"
Proliferation rate (Ct/day),BA.1/BA.2,4,1,11,"4 (1, 11)"
Clearance rate (Ct/day),Other/None,1.6,0.8,2.8,"1.6 (0.8, 2.8)"
Clearance rate (Ct/day),Alpha,1.5,0.7,2.8,"1.5 (0.7, 2.8)"
Clearance rate (Ct/day),Delta,1.6,0.7,3.1,"1.6 (0.7, 3.1)"
Clearance rate (Ct/day),BA.1/BA.2,2.4,1,5,"2.4 (1, 5)"
Symmetry (proliferation/clearance),Other/None,0.6,0.2,1.2,"0.6 (0.2, 1.2)"
Symmetry (proliferation/clearance),Alpha,0.6,0.2,1.5,"0.6 (0.2, 1.5)"
Symmetry (proliferation/clearance),Delta,0.6,0.2,1.5,"0.6 (0.2, 1.5)"
Symmetry (proliferation/clearance),BA.1/BA.2,0.8,0.2,2.4,"0.8 (0.2, 2.4)"
