var,name,mean,lwr,upr,string
Peak Ct,Other/None,26.7,25.3,28,"26.7 (25.3, 28)"
Peak Ct,Alpha,27.2,24.7,29.4,"27.2 (24.7, 29.4)"
Peak Ct,Delta,24.5,22.1,26.8,"24.5 (22.1, 26.8)"
Peak Ct,BA.1/BA.2,27.6,26.7,28.4,"27.6 (26.7, 28.4)"
Peak GEML,Other/None,6.4,6,6.7,"6.4 (6, 6.7)"
Peak GEML,Alpha,6.2,5.6,6.9,"6.2 (5.6, 6.9)"
Peak GEML,Delta,6.9,6.3,7.6,"6.9 (6.3, 7.6)"
Peak GEML,BA.1/BA.2,6.1,5.9,6.4,"6.1 (5.9, 6.4)"
Proliferation time,Other/None,4,3.3,4.9,"4 (3.3, 4.9)"
Proliferation time,Alpha,3.7,2.7,5,"3.7 (2.7, 5)"
Proliferation time,Delta,3.4,2.4,4.8,"3.4 (2.4, 4.8)"
Proliferation time,BA.1/BA.2,4.4,3.7,5.3,"4.4 (3.7, 5.3)"
Clearance time,Other/None,9.1,8,10.4,"9.1 (8, 10.4)"
Clearance time,Alpha,8.9,7.1,11,"8.9 (7.1, 11)"
Clearance time,Delta,7.7,6.2,9.5,"7.7 (6.2, 9.5)"
Clearance time,BA.1/BA.2,5.1,4.6,5.7,"5.1 (4.6, 5.7)"
Proliferation rate (Ct/day),Other/None,3.3,2.6,4.1,"3.3 (2.6, 4.1)"
Proliferation rate (Ct/day),Alpha,3.6,2.4,5.2,"3.6 (2.4, 5.2)"
Proliferation rate (Ct/day),Delta,4.6,3,6.7,"4.6 (3, 6.7)"
Proliferation rate (Ct/day),BA.1/BA.2,2.8,2.3,3.4,"2.8 (2.3, 3.4)"
Clearance rate (Ct/day),Other/None,1.5,1.2,1.7,"1.5 (1.2, 1.7)"
Clearance rate (Ct/day),Alpha,1.5,1.1,2,"1.5 (1.1, 2)"
Clearance rate (Ct/day),Delta,2,1.5,2.6,"2 (1.5, 2.6)"
Clearance rate (Ct/day),BA.1/BA.2,2.4,2.2,2.8,"2.4 (2.2, 2.8)"
Symmetry (proliferation/clearance),Other/None,0.4,0.3,0.6,"0.4 (0.3, 0.6)"
Symmetry (proliferation/clearance),Alpha,0.4,0.3,0.6,"0.4 (0.3, 0.6)"
Symmetry (proliferation/clearance),Delta,0.5,0.3,0.7,"0.5 (0.3, 0.7)"
Symmetry (proliferation/clearance),BA.1/BA.2,0.9,0.7,1.1,"0.9 (0.7, 1.1)"
